id,Internship_title,Company,Location,Location_1,Duration(Months),Stipend_given(perMonth),Skills_required,Skills_required_1
78,Teaching (Data Science),Build My Project,Work From Home,Work From Home,2,8000,"Machine Learning, Data Science, Internet of Things (IoT), Artifical Intelligence",Artifical Intelligence
79,Machine Learning/Artificial Intelligence,Internship Studio,Pune,Pune,3,3000,"Python, Machine Learning, Artifical Intelligence",Python
80,Machine Learning/Artificial Intelligence,Internship Studio,Pune,Pune,3,3000,"Python, Machine Learning, Artifical Intelligence",Machine Learning
81,Machine Learning/Artificial Intelligence,Internship Studio,Pune,Pune,3,3000,"Python, Machine Learning, Artifical Intelligence",Artifical Intelligence
82,Data Engineering,Yskool,Work From Home,Work From Home,3,8000-10000,"HTML, Python, SQL, Machine Learning, Shell Scripting, Amazon Web Services (AWS), Natural Language Processing (NLP)",HTML
83,Data Engineering,Yskool,Work From Home,Work From Home,3,8000-10000,"HTML, Python, SQL, Machine Learning, Shell Scripting, Amazon Web Services (AWS), Natural Language Processing (NLP)",Python
84,Data Engineering,Yskool,Work From Home,Work From Home,3,8000-10000,"HTML, Python, SQL, Machine Learning, Shell Scripting, Amazon Web Services (AWS), Natural Language Processing (NLP)",MySQL
85,Data Engineering,Yskool,Work From Home,Work From Home,3,8000-10000,"HTML, Python, SQL, Machine Learning, Shell Scripting, Amazon Web Services (AWS), Natural Language Processing (NLP)",Machine Learning
86,Data Engineering,Yskool,Work From Home,Work From Home,3,8000-10000,"HTML, Python, SQL, Machine Learning, Shell Scripting, Amazon Web Services (AWS), Natural Language Processing (NLP)",Shell Scripting
87,Data Engineering,Yskool,Work From Home,Work From Home,3,8000-10000,"HTML, Python, SQL, Machine Learning, Shell Scripting, Amazon Web Services (AWS), Natural Language Processing (NLP)",Amazon Web Services (AWS)
88,Data Engineering,Yskool,Work From Home,Work From Home,3,8000-10000,"HTML, Python, SQL, Machine Learning, Shell Scripting, Amazon Web Services (AWS), Natural Language Processing (NLP)",Natural Language Processing (NLP)
89,AI & Data Science (Research & Development),Hornbill Labs Private Limited,Work From Home,Work From Home,2,8000-10000,"Python, Data Analytics, Django, Machine Learning, Flask, Deep Learning",Python
90,AI & Data Science (Research & Development),Hornbill Labs Private Limited,Work From Home,Work From Home,2,8000-10000,"Python, Data Analytics, Django, Machine Learning, Flask, Deep Learning",Data Analytics
91,AI & Data Science (Research & Development),Hornbill Labs Private Limited,Work From Home,Work From Home,2,8000-10000,"Python, Data Analytics, Django, Machine Learning, Flask, Deep Learning",Django
92,AI & Data Science (Research & Development),Hornbill Labs Private Limited,Work From Home,Work From Home,2,8000-10000,"Python, Data Analytics, Django, Machine Learning, Flask, Deep Learning",Machine Learning
93,AI & Data Science (Research & Development),Hornbill Labs Private Limited,Work From Home,Work From Home,2,8000-10000,"Python, Data Analytics, Django, Machine Learning, Flask, Deep Learning",Flask
94,AI & Data Science (Research & Development),Hornbill Labs Private Limited,Work From Home,Work From Home,2,8000-10000,"Python, Data Analytics, Django, Machine Learning, Flask, Deep Learning",Deep Learning
95,Artificial Neural Networks,Tvish,Work From Home,Work From Home,3,,"Python, Machine Learning, Computer Vision, Neural Networks, Artifical Intelligence",Python
96,Artificial Neural Networks,Tvish,Work From Home,Work From Home,3,,"Python, Machine Learning, Computer Vision, Neural Networks, Artifical Intelligence",Machine Learning
97,Artificial Neural Networks,Tvish,Work From Home,Work From Home,3,,"Python, Machine Learning, Computer Vision, Neural Networks, Artifical Intelligence",Computer Vision
98,Artificial Neural Networks,Tvish,Work From Home,Work From Home,3,,"Python, Machine Learning, Computer Vision, Neural Networks, Artifical Intelligence",Neural Networks
99,Artificial Neural Networks,Tvish,Work From Home,Work From Home,3,,"Python, Machine Learning, Computer Vision, Neural Networks, Artifical Intelligence",Artifical Intelligence
100,Database/ETL Development,FourthPointer Services,Work From Home,Work From Home,6,12000-15000,Not Found,nan
101,Data Science,.Kreate,Delhi,Delhi,3,15000,Python,Python
102,Big Data,RBHU ETG PRIVATE LIMITED,Navi Mumbai,Navi Mumbai,6,10000,"Python, SQL, Power BI",Python
103,Big Data,RBHU ETG PRIVATE LIMITED,Navi Mumbai,Navi Mumbai,6,10000,"Python, SQL, Power BI",MySQL
104,Big Data,RBHU ETG PRIVATE LIMITED,Navi Mumbai,Navi Mumbai,6,10000,"Python, SQL, Power BI",Power BI
105,Data Engineering,Codemonk,Work From Home,Work From Home,6,10000,"Python, SQL, MongoDB, PostgreSQL, Data Science",Python
106,Data Engineering,Codemonk,Work From Home,Work From Home,6,10000,"Python, SQL, MongoDB, PostgreSQL, Data Science",MySQL
107,Data Engineering,Codemonk,Work From Home,Work From Home,6,10000,"Python, SQL, MongoDB, PostgreSQL, Data Science",MongoDB
108,Data Engineering,Codemonk,Work From Home,Work From Home,6,10000,"Python, SQL, MongoDB, PostgreSQL, Data Science",PostgreSQL
109,Data Engineering,Codemonk,Work From Home,Work From Home,6,10000,"Python, SQL, MongoDB, PostgreSQL, Data Science",Data Science
110,Research (AI/ML),Blackcoffer,Work From Home,Work From Home,6,5000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Artifical Intelligence",Python
111,Research (AI/ML),Blackcoffer,Work From Home,Work From Home,6,5000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Artifical Intelligence",MySQL
112,Research (AI/ML),Blackcoffer,Work From Home,Work From Home,6,5000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Artifical Intelligence",Data Analytics
113,Research (AI/ML),Blackcoffer,Work From Home,Work From Home,6,5000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Artifical Intelligence",Machine Learning
114,Research (AI/ML),Blackcoffer,Work From Home,Work From Home,6,5000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Artifical Intelligence",Data Science
115,Research (AI/ML),Blackcoffer,Work From Home,Work From Home,6,5000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Artifical Intelligence",Artifical Intelligence
116,Algorithmic Trading Analytics,Mudraksh And McShaw Advisory,Work From Home,Work From Home,3,1000,Not Found,nan
117,Data Analytics,Kalani Gattani & Company,Work From Home,Work From Home,6,3000,"Python, MS-Excel, Power BI",Python
118,Data Analytics,Kalani Gattani & Company,Work From Home,Work From Home,6,3000,"Python, MS-Excel, Power BI",MS-Excel
119,Data Analytics,Kalani Gattani & Company,Work From Home,Work From Home,6,3000,"Python, MS-Excel, Power BI",Power BI
120,Data Analytics,Copperpod IP,Work From Home,Work From Home,2,2500,Not Found,nan
121,Data Science,Prakriti Textiles,Work From Home,Work From Home,2,10000,Not Found,nan
122,Data Analytics,Prakriti Textiles,Work From Home,Work From Home,2,10000,Not Found,nan
123,Data Annotation,Jupiter,"Bangalore, Mumbai",Bangalore,6,25000,Not Found,nan
124,Data Annotation,Jupiter,"Bangalore, Mumbai",Mumbai,6,25000,Not Found,nan
125,Data Analytics,Merck KGaA,Bangalore,Bangalore,6,16000,"Python, MS-PowerPoint, SQL, Statistical Modeling, MS-Excel, R Programming, Tableau",Python
126,Data Analytics,Merck KGaA,Bangalore,Bangalore,6,16000,"Python, MS-PowerPoint, SQL, Statistical Modeling, MS-Excel, R Programming, Tableau",MS-PowerPoint
127,Data Analytics,Merck KGaA,Bangalore,Bangalore,6,16000,"Python, MS-PowerPoint, SQL, Statistical Modeling, MS-Excel, R Programming, Tableau",MySQL
128,Data Analytics,Merck KGaA,Bangalore,Bangalore,6,16000,"Python, MS-PowerPoint, SQL, Statistical Modeling, MS-Excel, R Programming, Tableau",Statistical Modeling
129,Data Analytics,Merck KGaA,Bangalore,Bangalore,6,16000,"Python, MS-PowerPoint, SQL, Statistical Modeling, MS-Excel, R Programming, Tableau",MS-Excel
130,Data Analytics,Merck KGaA,Bangalore,Bangalore,6,16000,"Python, MS-PowerPoint, SQL, Statistical Modeling, MS-Excel, R Programming, Tableau",R Programming
131,Data Analytics,Merck KGaA,Bangalore,Bangalore,6,16000,"Python, MS-PowerPoint, SQL, Statistical Modeling, MS-Excel, R Programming, Tableau",Tableau
132,Data Science,Prwatech,Pune,Pune,6,2000-2500,"Python, SQL",Python
133,Data Science,Prwatech,Pune,Pune,6,2000-2500,"Python, SQL",MySQL
134,Business Analytics,Innowrap Technologies,Work From Home,Work From Home,3,3000-5000,"MS-Excel, English Proficiency (Spoken), English Proficiency (Written)",MS-Excel
135,Business Analytics,Innowrap Technologies,Work From Home,Work From Home,3,3000-5000,"MS-Excel, English Proficiency (Spoken), English Proficiency (Written)",English Proficiency (Spoken)
136,Business Analytics,Innowrap Technologies,Work From Home,Work From Home,3,3000-5000,"MS-Excel, English Proficiency (Spoken), English Proficiency (Written)",English Proficiency (Written)
137,Business Analytics,Lead Panther Digitech,Work From Home,Work From Home,6,5000,"MS-Word, MS-PowerPoint, MS-Excel, English Proficiency (Spoken)",MS-Word
138,Business Analytics,Lead Panther Digitech,Work From Home,Work From Home,6,5000,"MS-Word, MS-PowerPoint, MS-Excel, English Proficiency (Spoken)",MS-PowerPoint
139,Business Analytics,Lead Panther Digitech,Work From Home,Work From Home,6,5000,"MS-Word, MS-PowerPoint, MS-Excel, English Proficiency (Spoken)",MS-Excel
140,Business Analytics,Lead Panther Digitech,Work From Home,Work From Home,6,5000,"MS-Word, MS-PowerPoint, MS-Excel, English Proficiency (Spoken)",English Proficiency (Spoken)
141,Data Science,Zonolith Technologies Private Limited,"Chandigarh, Panchkula",Chandigarh,3,10000,"Python, Data Science",Python
142,Data Science,Zonolith Technologies Private Limited,"Chandigarh, Panchkula",Panchkula,3,10000,"Python, Data Science",Python
143,Data Science,Zonolith Technologies Private Limited,"Chandigarh, Panchkula",Chandigarh,3,10000,"Python, Data Science",Data Science
144,Data Science,Zonolith Technologies Private Limited,"Chandigarh, Panchkula",Panchkula,3,10000,"Python, Data Science",Data Science
145,Deep Learning,BayesLabs,Bangalore,Bangalore,4,10000,"Python, Chemistry, Biology, Machine Learning, Deep Learning",Python
146,Deep Learning,BayesLabs,Bangalore,Bangalore,4,10000,"Python, Chemistry, Biology, Machine Learning, Deep Learning",Chemistry
147,Deep Learning,BayesLabs,Bangalore,Bangalore,4,10000,"Python, Chemistry, Biology, Machine Learning, Deep Learning",Biology
148,Deep Learning,BayesLabs,Bangalore,Bangalore,4,10000,"Python, Chemistry, Biology, Machine Learning, Deep Learning",Machine Learning
149,Deep Learning,BayesLabs,Bangalore,Bangalore,4,10000,"Python, Chemistry, Biology, Machine Learning, Deep Learning",Deep Learning
150,Data Analytics,Cima Analytica,Work From Home,Work From Home,3,2000-7000,"Python, Blogging, MS-PowerPoint, MS-Excel, R Programming, English Proficiency (Spoken), English Proficiency (Written), Power BI, Tableau",Python
151,Data Analytics,Cima Analytica,Work From Home,Work From Home,3,2000-7000,"Python, Blogging, MS-PowerPoint, MS-Excel, R Programming, English Proficiency (Spoken), English Proficiency (Written), Power BI, Tableau",Blogging
152,Data Analytics,Cima Analytica,Work From Home,Work From Home,3,2000-7000,"Python, Blogging, MS-PowerPoint, MS-Excel, R Programming, English Proficiency (Spoken), English Proficiency (Written), Power BI, Tableau",MS-PowerPoint
153,Data Analytics,Cima Analytica,Work From Home,Work From Home,3,2000-7000,"Python, Blogging, MS-PowerPoint, MS-Excel, R Programming, English Proficiency (Spoken), English Proficiency (Written), Power BI, Tableau",MS-Excel
154,Data Analytics,Cima Analytica,Work From Home,Work From Home,3,2000-7000,"Python, Blogging, MS-PowerPoint, MS-Excel, R Programming, English Proficiency (Spoken), English Proficiency (Written), Power BI, Tableau",R Programming
155,Data Analytics,Cima Analytica,Work From Home,Work From Home,3,2000-7000,"Python, Blogging, MS-PowerPoint, MS-Excel, R Programming, English Proficiency (Spoken), English Proficiency (Written), Power BI, Tableau",English Proficiency (Spoken)
156,Data Analytics,Cima Analytica,Work From Home,Work From Home,3,2000-7000,"Python, Blogging, MS-PowerPoint, MS-Excel, R Programming, English Proficiency (Spoken), English Proficiency (Written), Power BI, Tableau",English Proficiency (Written)
157,Data Analytics,Cima Analytica,Work From Home,Work From Home,3,2000-7000,"Python, Blogging, MS-PowerPoint, MS-Excel, R Programming, English Proficiency (Spoken), English Proficiency (Written), Power BI, Tableau",Power BI
158,Data Analytics,Cima Analytica,Work From Home,Work From Home,3,2000-7000,"Python, Blogging, MS-PowerPoint, MS-Excel, R Programming, English Proficiency (Spoken), English Proficiency (Written), Power BI, Tableau",Tableau
